"question" "cumulative" "total"
"80" "form.family_planning_group.counsel_institution" 772.594641602497 326.92870229655
"81" "form.family_planning_group.spacing_methods" 169.499736982383 41.707365074805
"82" "form.bp1.anc2.anc2_abnormalities" 298.093455371016 76.5070176874964
"83" "form.bp2.not_yet_vehicle" 0 0
"84" "form.family_planning_group.avail_immediate" 1155.32833458768 311.111540419492
"85" "form.family_planning_group.immediate_appropriate" 1604.76839802051 370.389411138993
"86" "form.bp2.maternal_danger_signs" 2195.57169088356 595.759318412236
"87" "form.bp2.immediate_breastfeeding" 802.667024926065 399.377537864049
"88" "form.BP_complete_referral_needed" 0 0
"89" "form.bp1.reason_no_ifa" 88.8938152847352 3.27756094640298
"90" "form.bp1.anc3.anc3_facility" 72.1909207673816 38.6576830725524
"91" "form.bp2.inform_danger_signs" 410.84340926621 103.061959608796
