"question" "cumulative" "total"
"41" "form.bp2.saving_money" 1040.03075709804 399.648951824563
"42" "form.bp2.materials" 32.1483424295778 17.3037672891556
"43" "form.bp1.anc1.anc1_abdominal_exam" 810.860140669681 162.043559288258
"44" "form.bp2.birth_preparedness_vid" 0 0
"45" "form.bp1.using_ifa" 583.456408954121 566.845807440838
"46" "form.bp2.counsel_preparation" 1063.7788312718 394.026371627774
"47" "form.bp2.now_institutional" 1607.8888812643 438.353336429054
"48" "form.bp2.not_yet_SBA_phone" 0 0
"49" "form.bp2.danger_institution" 2033.33306309873 462.065502755713
"50" "form.bp1.anc4.anc4_blood_pressure" 8.68313443769027 1.91969436007343
"51" "form.bp2.vehicle" 2141.65379693472 560.791890598308
"52" "form.bp2.skin_to_skin" 914.095297733553 405.809589791609
"53" "form.nextvisit" 0 0
"54" "form.bp_visit_num" 2760.64975806106 838.428534576097
"55" "form.bp1.counsel_tt" 1970.17802720164 543.111174194493
"56" "form.referral_prompt" 0 0
"57" "form.family_planning_group.risk_of_preg" 273.176418870668 71.563134263574
"58" "form.family_planning_group.institution_immediate" 1330.50988400922 307.707738372082
"59" "form.bp2.cord_care_vid" 0 0
"60" "form.bp1.anc4.anc4_facility" 8.24653531087673 12.6678195785123
"61" "form.bp2.cord_care" 1338.07540775558 397.145800905651
"62" "form.success" 0 0
"63" "form.bp1.anc3_details" 474.291900516183 76.712432275044
"64" "form.bp2.wrapping" 1015.02105634464 395.287587750019
"65" "form.family_planning_vid" 0 0
"66" "form.family_planning_group.stop_children" 170.839797926942 34.1359892210387
"67" "form.postponing" 1556.23622313928 542.531781512135
"68" "form.family_planning_group.counsel_methods" 278.373305534545 67.207683020566
"69" "form.bp1.anc2_details" 784.74727653178 132.501372406932
"70" "form.family_planning_group.counsel_accessible" 1567.37895827629 373.64982439377
"71" "form.bp2.accompany" 1240.8240325401 392.503181291718
"72" "form.bp2.play_cord_care_vid" 3073.54490915154 1259.42360359475
"73" "form.family_planning_group.postpone_conception" 294.39188422632 63.8090389299806
"74" "form.bp2.not_yet_materials" 0 0
"75" "form.bp2.has_danger_signs" 2022.42192162881 442.540903282825
"76" "form.family_planning_group.counsel_benefits" 1132.9512958431 330.020623083603
"77" "form.bp1.resting" 133.847834920437 203.122927603324
"78" "form.nextvisittype" 3394.38025560679 644.696233202154
"79" "form.bp1.anc3.anc3_abnormalities" 77.9329427423476 36.5730248746751
"80" "form.family_planning_group.counsel_institution" 772.594641602497 327.915484602474
"81" "form.family_planning_group.spacing_methods" 169.499736982383 41.7729065037392
"82" "form.bp1.anc2.anc2_abnormalities" 298.093455371016 76.7665364565879
"83" "form.bp2.not_yet_vehicle" 0 0
"84" "form.family_planning_group.avail_immediate" 1155.32833458768 312.05952906781
"85" "form.family_planning_group.immediate_appropriate" 1604.76839802051 371.125133760549
"86" "form.bp2.maternal_danger_signs" 2195.57169088356 597.963656740124
"87" "form.bp2.immediate_breastfeeding" 802.667024926065 402.670899373938
"88" "form.BP_complete_referral_needed" 0 0
"89" "form.bp1.reason_no_ifa" 88.8938152847352 3.27841512017135
"90" "form.bp1.anc3.anc3_facility" 72.1909207673816 38.7586152546295
"91" "form.bp2.inform_danger_signs" 410.84340926621 103.59215046896
