"week" "question" "score"
"421" "3" "form.bp1.anc1.anc1_facility" "15.3010822059061"
"422" "4" "form.bp1.anc1.anc1_facility" "47.9961713444346"
"423" "5" "form.bp1.anc1.anc1_facility" "47.0363950387982"
"424" "6" "form.bp1.anc1.anc1_facility" "36.6955018289586"
"425" "7" "form.bp1.anc1.anc1_facility" "24.2492038241942"
"426" "8" "form.bp1.anc1.anc1_facility" "18.3366536165002"
"427" "9" "form.bp1.anc1.anc1_facility" "28.8350614448707"
"428" "10" "form.bp1.anc1.anc1_facility" "16.8155152217949"
"429" "11" "form.bp1.anc1.anc1_facility" "22.6862632786788"
"430" "12" "form.bp1.anc1.anc1_facility" "10.8414893171226"
"431" "13" "form.bp1.anc1.anc1_facility" "18.2665030097171"
"432" "14" "form.bp1.anc1.anc1_facility" "25.9461990639747"
"433" "15" "form.bp1.anc1.anc1_facility" "27.3313616110678"
"434" "16" "form.bp1.anc1.anc1_facility" "13.4748191894471"
"435" "17" "form.bp1.anc1.anc1_facility" "22.025657576212"
"436" "18" "form.bp1.anc1.anc1_facility" "11.030720609392"
"437" "19" "form.bp1.anc1.anc1_facility" "0"
"438" "20" "form.bp1.anc1.anc1_facility" "20.0882753423976"
"439" "21" "form.bp1.anc1.anc1_facility" "20.277286364905"
"440" "22" "form.bp1.anc1.anc1_facility" "15.1232104873267"
"441" "23" "form.bp1.anc1.anc1_facility" "14.8671654401246"
"442" "24" "form.bp1.anc1.anc1_facility" "17.5952249892358"
"443" "25" "form.bp1.anc1.anc1_facility" "20.7916327366127"
"444" "26" "form.bp1.anc1.anc1_facility" "0"
"445" "27" "form.bp1.anc1.anc1_facility" "29.977549607021"
"446" "28" "form.bp1.anc1.anc1_facility" "49.3342865469738"
"447" "29" "form.bp1.anc1.anc1_facility" "28.4154391375281"
"448" "30" "form.bp1.anc1.anc1_facility" "37.6687007244731"
"449" "31" "form.bp1.anc1.anc1_facility" "27.7641556333836"
"450" "32" "form.bp1.anc1.anc1_facility" "24.6443663318516"
"451" "33" "form.bp1.anc1.anc1_facility" "0"
"452" "34" "form.bp1.anc1.anc1_facility" "38.8504349280776"
"453" "35" "form.bp1.anc1.anc1_facility" "0"
"454" "36" "form.bp1.anc1.anc1_facility" "23.3875046754785"
"455" "37" "form.bp1.anc1.anc1_facility" "29.1487877597218"
"456" "38" "form.bp1.anc1.anc1_facility" "0"
"457" "1" "form.bp2.counsel_institutional" "0"
"458" "2" "form.bp2.counsel_institutional" "0"
"459" "3" "form.bp2.counsel_institutional" "0"
"460" "4" "form.bp2.counsel_institutional" "0"
"461" "5" "form.bp2.counsel_institutional" "0"
"462" "6" "form.bp2.counsel_institutional" "0"
"463" "7" "form.bp2.counsel_institutional" "0"
"464" "8" "form.bp2.counsel_institutional" "0"
"465" "9" "form.bp2.counsel_institutional" "0"
"466" "10" "form.bp2.counsel_institutional" "0"
"467" "11" "form.bp2.counsel_institutional" "0"
