                                 chw                                question       score           x2
113 89fda0284e008d2e0c980fb13f9ac931 form.family_planning_group.counsel_stay 12.35939874  24.71880000
70  89fda0284e008d2e0c980fb13f9628e2 form.family_planning_group.counsel_stay 11.48264078  22.96528000
82  89fda0284e008d2e0c980fb13f97850c form.family_planning_group.counsel_stay 11.11148828  22.22298000
132 89fda0284e008d2e0c980fb13f992e2c form.family_planning_group.counsel_stay 11.11060113  22.22120000
9   89fda0284e008d2e0c980fb13f9a51a9 form.family_planning_group.counsel_stay 10.56095237  21.12190000
48  89fda0284e008d2e0c980fb13f952278 form.family_planning_group.counsel_stay 10.34170085  20.68340000
174 89fda0284e008d2e0c980fb13f97478a form.family_planning_group.counsel_stay  9.78786239  19.57572000
12  89fda0284e008d2e0c980fb13f97e56a form.family_planning_group.counsel_stay  9.55943228  19.11886000
81  89fda0284e008d2e0c980fb13f961f23 form.family_planning_group.counsel_stay  9.11225461  18.22451000
83  89fda0284e008d2e0c980fb13f964e6a form.family_planning_group.counsel_stay  8.91997436  17.83995000
71  89fda0284e008d2e0c980fb13f95300e form.family_planning_group.counsel_stay  8.63501892  17.27004000
107 89fda0284e008d2e0c980fb13f97bafa form.family_planning_group.counsel_stay  8.39735958  16.79472000
68  89fda0284e008d2e0c980fb13f9866e8 form.family_planning_group.counsel_stay  8.22460403  16.44921000
142 89fda0284e008d2e0c980fb13f9b1c77 form.family_planning_group.counsel_stay  8.20853704  16.41707000
200 89fda0284e008d2e0c980fb13f94e6b6 form.family_planning_group.counsel_stay  8.14418924  16.28838000
197 89fda0284e008d2e0c980fb13f954d49 form.family_planning_group.counsel_stay  7.99573738  15.99147000
7   89fda0284e008d2e0c980fb13f99fba3 form.family_planning_group.counsel_stay  7.86183912  15.72368000
89  89fda0284e008d2e0c980fb13f966e31 form.family_planning_group.counsel_stay  7.12618120  14.25236000
67  89fda0284e008d2e0c980fb13f9b2365 form.family_planning_group.counsel_stay  7.07421863  14.14844000
11  89fda0284e008d2e0c980fb13f95205a form.family_planning_group.counsel_stay  6.56068558  13.12137000
111 89fda0284e008d2e0c980fb13f96442a form.family_planning_group.counsel_stay  6.41250573  12.82501000
196 89fda0284e008d2e0c980fb13f97031c form.family_planning_group.counsel_stay  6.21727511  12.43455000
49  70c6ba6f55ed21716fe725c21469a1e0 form.family_planning_group.counsel_stay  6.07228143  12.14456000
38  89fda0284e008d2e0c980fb13f97d834 form.family_planning_group.counsel_stay  6.05987226  12.11974000
56  89fda0284e008d2e0c980fb13f9b1ab6 form.family_planning_group.counsel_stay  6.02526320  12.05053000
19  89fda0284e008d2e0c980fb13f953df5 form.family_planning_group.counsel_stay  5.94611950  11.89224000
147 89fda0284e008d2e0c980fb13f9b0cfa form.family_planning_group.counsel_stay  5.89828291  11.79657000
23  89fda0284e008d2e0c980fb13f9623b3 form.family_planning_group.counsel_stay  5.73967234  11.47934000
101 89fda0284e008d2e0c980fb13f95f7a6 form.family_planning_group.counsel_stay  5.72381234  11.44762000
212 89fda0284e008d2e0c980fb13f9afb45 form.family_planning_group.counsel_stay  5.56769022  11.13538000
146 89fda0284e008d2e0c980fb13f94fae5 form.family_planning_group.counsel_stay  5.54547562  11.09095000
177 89fda0284e008d2e0c980fb13f98d9d7 form.family_planning_group.counsel_stay  5.52351181  11.04702000
99  70c6ba6f55ed21716fe725c21469c91d form.family_planning_group.counsel_stay  5.47946126  10.95892000
8   89fda0284e008d2e0c980fb13f99a86d form.family_planning_group.counsel_stay  5.45222744  10.90445000
213 fcd13ae716841026ee760704bb0d92e5 form.family_planning_group.counsel_stay  5.43772452  10.87545000
92  89fda0284e008d2e0c980fb13f995be3 form.family_planning_group.counsel_stay  5.35604443  10.71209000
16  89fda0284e008d2e0c980fb13f996b98 form.family_planning_group.counsel_stay  5.24319591  10.48639000
138 89fda0284e008d2e0c980fb13f980116 form.family_planning_group.counsel_stay  5.14710983  10.29422000
100 89fda0284e008d2e0c980fb13f98736b form.family_planning_group.counsel_stay  5.12129092  10.24258000
86  89fda0284e008d2e0c980fb13f999c89 form.family_planning_group.counsel_stay  5.06356269  10.12713000
104 89fda0284e008d2e0c980fb13f96c45a form.family_planning_group.counsel_stay  5.01054882  10.02110000
157 89fda0284e008d2e0c980fb13f9b5305 form.family_planning_group.counsel_stay  4.85898739   9.71797500
187 89fda0284e008d2e0c980fb13f958016 form.family_planning_group.counsel_stay  4.80148044   9.60296100
135 89fda0284e008d2e0c980fb13f9b1273 form.family_planning_group.counsel_stay  4.77093948   9.54187900
145 89fda0284e008d2e0c980fb13f951435 form.family_planning_group.counsel_stay  4.44156235   8.88312500
32  89fda0284e008d2e0c980fb13f957a1e form.family_planning_group.counsel_stay  4.39140403   8.78280800
205 89fda0284e008d2e0c980fb13f9a0d1f form.family_planning_group.counsel_stay  4.34752250   8.69504500
59  89fda0284e008d2e0c980fb13f97eeaa form.family_planning_group.counsel_stay  4.33104828   8.66209700
55  89fda0284e008d2e0c980fb13f958239 form.family_planning_group.counsel_stay  4.29507803   8.59015600
114 89fda0284e008d2e0c980fb13f95477d form.family_planning_group.counsel_stay  4.25666408   8.51332800
109 89fda0284e008d2e0c980fb13f960ab3 form.family_planning_group.counsel_stay  4.24954543   8.49909100
188 89fda0284e008d2e0c980fb13f99f651 form.family_planning_group.counsel_stay  4.18860284   8.37720600
44  70c6ba6f55ed21716fe725c214694428 form.family_planning_group.counsel_stay  4.04948532   8.09897100
161 89fda0284e008d2e0c980fb13f976d3e form.family_planning_group.counsel_stay  4.00922604   8.01845200
75  89fda0284e008d2e0c980fb13f94e5b7 form.family_planning_group.counsel_stay  3.98678171   7.97356300
155 89fda0284e008d2e0c980fb13f99886e form.family_planning_group.counsel_stay  3.88593518   7.77187000
153 89fda0284e008d2e0c980fb13f98a6d5 form.family_planning_group.counsel_stay  3.80618026   7.61236100
192 fcd13ae716841026ee760704bb0d7fee form.family_planning_group.counsel_stay  3.80080940   7.60161900
201 89fda0284e008d2e0c980fb13f9a68f3 form.family_planning_group.counsel_stay  3.67276365   7.34552700
96  89fda0284e008d2e0c980fb13f9a5551 form.family_planning_group.counsel_stay  3.61832382   7.23664800
43  89fda0284e008d2e0c980fb13f9899b3 form.family_planning_group.counsel_stay  3.57299498   7.14599000
74  70c6ba6f55ed21716fe725c214692ffd form.family_planning_group.counsel_stay  3.57299498   7.14599000
84  89fda0284e008d2e0c980fb13f97fc0a form.family_planning_group.counsel_stay  3.57299498   7.14599000
129 89fda0284e008d2e0c980fb13f9692b3 form.family_planning_group.counsel_stay  3.55182589   7.10365200
189 89fda0284e008d2e0c980fb13f98e475 form.family_planning_group.counsel_stay  3.47660421   6.95320800
47  70c6ba6f55ed21716fe725c21469fe3b form.family_planning_group.counsel_stay  3.45126398   6.90252800
170 89fda0284e008d2e0c980fb13f97a0ca form.family_planning_group.counsel_stay  3.39183574   6.78367100
77  89fda0284e008d2e0c980fb13f99d8c6 form.family_planning_group.counsel_stay  3.27226931   6.54453900
62  89fda0284e008d2e0c980fb13f9ad888 form.family_planning_group.counsel_stay  3.21593838   6.43187700
172 89fda0284e008d2e0c980fb13f980ee3 form.family_planning_group.counsel_stay  3.11846484   6.23693000
165 89fda0284e008d2e0c980fb13f9735c8 form.family_planning_group.counsel_stay  3.08546725   6.17093500
156 89fda0284e008d2e0c980fb13f94f3f9 form.family_planning_group.counsel_stay  3.06169207   6.12338400
65  89fda0284e008d2e0c980fb13f992222 form.family_planning_group.counsel_stay  3.05843107   6.11686200
76  89fda0284e008d2e0c980fb13f983809 form.family_planning_group.counsel_stay  2.87206459   5.74412900
190 fcd13ae716841026ee760704bb0da4a8 form.family_planning_group.counsel_stay  2.81795398   5.63590800
10  89fda0284e008d2e0c980fb13f982710 form.family_planning_group.counsel_stay  2.73606108   5.47212200
28  89fda0284e008d2e0c980fb13f98fe2e form.family_planning_group.counsel_stay  2.69104588   5.38209200
158 fb6e0b19cbe3ef683a10c4c47669d0ce form.family_planning_group.counsel_stay  2.61707776   5.23415600
227 89fda0284e008d2e0c980fb13f9b05d4 form.family_planning_group.counsel_stay  2.56788801   5.13577600
140 89fda0284e008d2e0c980fb13f99a47e form.family_planning_group.counsel_stay  2.51307298   5.02614600
199 70c6ba6f55ed21716fe725c214691571 form.family_planning_group.counsel_stay  2.44349693   4.88699400
2   89fda0284e008d2e0c980fb13f978216 form.family_planning_group.counsel_stay  2.36677965   4.73355900
105 89fda0284e008d2e0c980fb13f968eb0 form.family_planning_group.counsel_stay  2.36677965   4.73355900
93  89fda0284e008d2e0c980fb13f98c6e0 form.family_planning_group.counsel_stay  2.33530391   4.67060800
87  89fda0284e008d2e0c980fb13f99a592 form.family_planning_group.counsel_stay  2.31210699   4.62421400
6   70c6ba6f55ed21716fe725c2146982df form.family_planning_group.counsel_stay  2.28798399   4.57596800
98  89fda0284e008d2e0c980fb13f9b46eb form.family_planning_group.counsel_stay  2.28629820   4.57259600
51  89fda0284e008d2e0c980fb13f979bb8 form.family_planning_group.counsel_stay  2.27714841   4.55429700
181 89fda0284e008d2e0c980fb13f95dbc7 form.family_planning_group.counsel_stay  2.18229886   4.36459800
50  89fda0284e008d2e0c980fb13f95bb9f form.family_planning_group.counsel_stay  2.16400707   4.32801400
88  89fda0284e008d2e0c980fb13f997d88 form.family_planning_group.counsel_stay  2.10929196   4.21858400
122 89fda0284e008d2e0c980fb13f97ae9f form.family_planning_group.counsel_stay  2.07692155   4.15384300
94  89fda0284e008d2e0c980fb13f97722c form.family_planning_group.counsel_stay  2.03863402   4.07726800
106 89fda0284e008d2e0c980fb13f983d38 form.family_planning_group.counsel_stay  2.02451573   4.04903100
30  89fda0284e008d2e0c980fb13f987d0e form.family_planning_group.counsel_stay  2.02185049   4.04370100
33  89fda0284e008d2e0c980fb13f98d506 form.family_planning_group.counsel_stay  2.00787280   4.01574600
117 89fda0284e008d2e0c980fb13f956856 form.family_planning_group.counsel_stay  1.99343201   3.98686400
185 70c6ba6f55ed21716fe725c2146972eb form.family_planning_group.counsel_stay  1.99148602   3.98297200
198 89fda0284e008d2e0c980fb13f987fd5 form.family_planning_group.counsel_stay  1.94442230   3.88884500
207 89fda0284e008d2e0c980fb13f9849f8 form.family_planning_group.counsel_stay  1.86656294   3.73312600
173 89fda0284e008d2e0c980fb13f9528e1 form.family_planning_group.counsel_stay  1.86057415   3.72114800
17  70c6ba6f55ed21716fe725c21469d627 form.family_planning_group.counsel_stay  1.82571297   3.65142600
60  89fda0284e008d2e0c980fb13f9a6042 form.family_planning_group.counsel_stay  1.72280557   3.44561100
52  89fda0284e008d2e0c980fb13f950d25 form.family_planning_group.counsel_stay  1.71800309   3.43600600
22  89fda0284e008d2e0c980fb13f96807a form.family_planning_group.counsel_stay  1.66207627   3.32415300
116 89fda0284e008d2e0c980fb13f98abea form.family_planning_group.counsel_stay  1.62418587   3.24837200
97  89fda0284e008d2e0c980fb13f96554b form.family_planning_group.counsel_stay  1.58865701   3.17731400
143 89fda0284e008d2e0c980fb13f9597bc form.family_planning_group.counsel_stay  1.56998711   3.13997400
211 89fda0284e008d2e0c980fb13f98f9d5 form.family_planning_group.counsel_stay  1.50788300   3.01576600
13  89fda0284e008d2e0c980fb13f9ad060 form.family_planning_group.counsel_stay  1.47869999   2.95740000
63  89fda0284e008d2e0c980fb13f994cf8 form.family_planning_group.counsel_stay  1.44154725   2.88309400
29  89fda0284e008d2e0c980fb13f97cef7 form.family_planning_group.counsel_stay  1.43371283   2.86742600
133 89fda0284e008d2e0c980fb13f950688 form.family_planning_group.counsel_stay  1.35473799   2.70947600
90  89fda0284e008d2e0c980fb13f981bae form.family_planning_group.counsel_stay  1.31585173   2.63170300
168 89fda0284e008d2e0c980fb13f985a55 form.family_planning_group.counsel_stay  1.29701560   2.59403100
149 70c6ba6f55ed21716fe725c214694627 form.family_planning_group.counsel_stay  1.27831147   2.55662300
66  89fda0284e008d2e0c980fb13f95f2b4 form.family_planning_group.counsel_stay  1.23773314   2.47546600
193 89fda0284e008d2e0c980fb13f9a3e49 form.family_planning_group.counsel_stay  1.22544965   2.45089900
220 89fda0284e008d2e0c980fb13f98fd43 form.family_planning_group.counsel_stay  1.21448751   2.42897500
202 fcd13ae716841026ee760704bb0d7ba4 form.family_planning_group.counsel_stay  1.19256646   2.38513300
124 89fda0284e008d2e0c980fb13f9509fd form.family_planning_group.counsel_stay  1.16750929   2.33501900
167 89fda0284e008d2e0c980fb13f9900d3 form.family_planning_group.counsel_stay  1.09232523   2.18465000
176 70c6ba6f55ed21716fe725c21469e6ed form.family_planning_group.counsel_stay  1.08136260   2.16272500
180 89fda0284e008d2e0c980fb13f990df9 form.family_planning_group.counsel_stay  1.05062024   2.10124000
36  89fda0284e008d2e0c980fb13f96a690 form.family_planning_group.counsel_stay  0.97042986   1.94086000
61  89fda0284e008d2e0c980fb13f9ab153 form.family_planning_group.counsel_stay  0.97042986   1.94086000
216 89fda0284e008d2e0c980fb13f96cf64 form.family_planning_group.counsel_stay  0.97042986   1.94086000
217 89fda0284e008d2e0c980fb13f9ad383 form.family_planning_group.counsel_stay  0.97042986   1.94086000
103 89fda0284e008d2e0c980fb13f9859d8 form.family_planning_group.counsel_stay  0.95049101   1.90098200
169 89fda0284e008d2e0c980fb13f960194 form.family_planning_group.counsel_stay  0.90283295   1.80566600
154 89fda0284e008d2e0c980fb13f966281 form.family_planning_group.counsel_stay  0.89606617   1.79213200
209 89fda0284e008d2e0c980fb13f95cb81 form.family_planning_group.counsel_stay  0.89510201   1.79020400
37  89fda0284e008d2e0c980fb13f99a3ad form.family_planning_group.counsel_stay  0.88213721   1.76427400
118 89fda0284e008d2e0c980fb13f98317d form.family_planning_group.counsel_stay  0.87134851   1.74269700
21  89fda0284e008d2e0c980fb13f9aee39 form.family_planning_group.counsel_stay  0.86339417   1.72678800
141 89fda0284e008d2e0c980fb13f9992a6 form.family_planning_group.counsel_stay  0.84171951   1.68343900
3   89fda0284e008d2e0c980fb13f9917a0 form.family_planning_group.counsel_stay  0.80441906   1.60883800
25  89fda0284e008d2e0c980fb13f9ab9a8 form.family_planning_group.counsel_stay  0.80306107   1.60612200
219 89fda0284e008d2e0c980fb13f9a1c42 form.family_planning_group.counsel_stay  0.79939551   1.59879100
18  89fda0284e008d2e0c980fb13f9aa5ec form.family_planning_group.counsel_stay  0.77801470   1.55602900
144 89fda0284e008d2e0c980fb13f9978cb form.family_planning_group.counsel_stay  0.76902142   1.53804300
34  89fda0284e008d2e0c980fb13f9b19cd form.family_planning_group.counsel_stay  0.73695003   1.47390000
78  89fda0284e008d2e0c980fb13f95b755 form.family_planning_group.counsel_stay  0.73674922   1.47349800
223 89fda0284e008d2e0c980fb13f96f087 form.family_planning_group.counsel_stay  0.70706627   1.41413300
191 89fda0284e008d2e0c980fb13f9a9d0f form.family_planning_group.counsel_stay  0.69901634   1.39803300
215 fb6e0b19cbe3ef683a10c4c47669d46d form.family_planning_group.counsel_stay  0.69901634   1.39803300
222 89fda0284e008d2e0c980fb13f97540b form.family_planning_group.counsel_stay  0.69901634   1.39803300
231 89fda0284e008d2e0c980fb13f993d70 form.family_planning_group.counsel_stay  0.69901634   1.39803300
134 89fda0284e008d2e0c980fb13f95623e form.family_planning_group.counsel_stay  0.69187863   1.38375700
39  89fda0284e008d2e0c980fb13f972945 form.family_planning_group.counsel_stay  0.66825428   1.33650900
27  89fda0284e008d2e0c980fb13f99f90d form.family_planning_group.counsel_stay  0.64434352   1.28868700
58  89fda0284e008d2e0c980fb13f95e9b4 form.family_planning_group.counsel_stay  0.63670503   1.27341000
152 89fda0284e008d2e0c980fb13f950883 form.family_planning_group.counsel_stay  0.62416443   1.24832900
24  89fda0284e008d2e0c980fb13f9a94f7 form.family_planning_group.counsel_stay  0.61483777   1.22967600
91  89fda0284e008d2e0c980fb13f989136 form.family_planning_group.counsel_stay  0.60413516   1.20827000
182 89fda0284e008d2e0c980fb13f959c0a form.family_planning_group.counsel_stay  0.58335652   1.16671300
139 89fda0284e008d2e0c980fb13f99b52b form.family_planning_group.counsel_stay  0.57625986   1.15252000
160 89fda0284e008d2e0c980fb13f97bdf2 form.family_planning_group.counsel_stay  0.57240287   1.14480600
54  89fda0284e008d2e0c980fb13f9a6a78 form.family_planning_group.counsel_stay  0.55809225   1.11618400
184 89fda0284e008d2e0c980fb13f96ef9f form.family_planning_group.counsel_stay  0.54327147   1.08654300
20  89fda0284e008d2e0c980fb13f96a8a3 form.family_planning_group.counsel_stay  0.53056401   1.06112800
162 89fda0284e008d2e0c980fb13f94f406 form.family_planning_group.counsel_stay  0.52971420   1.05942800
178 70c6ba6f55ed21716fe725c2146966b6 form.family_planning_group.counsel_stay  0.49784117   0.99568230
208 89fda0284e008d2e0c980fb13f9a6d98 form.family_planning_group.counsel_stay  0.49784117   0.99568230
229 89fda0284e008d2e0c980fb13f9a052b form.family_planning_group.counsel_stay  0.45678535   0.91357070
119 70c6ba6f55ed21716fe725c2146903eb form.family_planning_group.counsel_stay  0.40926526   0.81853050
126 89fda0284e008d2e0c980fb13f98311d form.family_planning_group.counsel_stay  0.40182090   0.80364180
221 89fda0284e008d2e0c980fb13f96b252 form.family_planning_group.counsel_stay  0.36711892   0.73423780
73  89fda0284e008d2e0c980fb13f98b956 form.family_planning_group.counsel_stay  0.35305336   0.70610670
226 89fda0284e008d2e0c980fb13f98230b form.family_planning_group.counsel_stay  0.34422886   0.68845770
69  89fda0284e008d2e0c980fb13f9a88cd form.family_planning_group.counsel_stay  0.32944214   0.65888430
53  89fda0284e008d2e0c980fb13f98af77 form.family_planning_group.counsel_stay  0.32867609   0.65735220
120 89fda0284e008d2e0c980fb13f978e69 form.family_planning_group.counsel_stay  0.31643283   0.63286570
228 89fda0284e008d2e0c980fb13f9a06a3 form.family_planning_group.counsel_stay  0.30780144   0.61560290
194 89fda0284e008d2e0c980fb13f999899 form.family_planning_group.counsel_stay  0.28782815   0.57565630
166 70c6ba6f55ed21716fe725c21469ace7 form.family_planning_group.counsel_stay  0.26157244   0.52314490
35  89fda0284e008d2e0c980fb13f9ad330 form.family_planning_group.counsel_stay  0.25456566   0.50913130
164 89fda0284e008d2e0c980fb13f978578 form.family_planning_group.counsel_stay  0.24347804   0.48695610
171 89fda0284e008d2e0c980fb13f956dab form.family_planning_group.counsel_stay  0.24116748   0.48233500
206 89fda0284e008d2e0c980fb13f97256b form.family_planning_group.counsel_stay  0.20918412   0.41836820
183 fb6e0b19cbe3ef683a10c4c47669bc70 form.family_planning_group.counsel_stay  0.17809398   0.35618800
225 89fda0284e008d2e0c980fb13f96fddb form.family_planning_group.counsel_stay  0.17809398   0.35618800
159 89fda0284e008d2e0c980fb13f973bdc form.family_planning_group.counsel_stay  0.16187868   0.32375740
15  89fda0284e008d2e0c980fb13f975e5c form.family_planning_group.counsel_stay  0.16165533   0.32331070
64  89fda0284e008d2e0c980fb13f97583c form.family_planning_group.counsel_stay  0.16053427   0.32106850
46  89fda0284e008d2e0c980fb13f964b7e form.family_planning_group.counsel_stay  0.13930782   0.27861560
204 89fda0284e008d2e0c980fb13f998a68 form.family_planning_group.counsel_stay  0.12348344   0.24696690
72  89fda0284e008d2e0c980fb13f970282 form.family_planning_group.counsel_stay  0.12329063   0.24658130
131 89fda0284e008d2e0c980fb13f97cb4f form.family_planning_group.counsel_stay  0.11131662   0.22263320
186 89fda0284e008d2e0c980fb13f976515 form.family_planning_group.counsel_stay  0.11131662   0.22263320
210 89fda0284e008d2e0c980fb13f96e561 form.family_planning_group.counsel_stay  0.11131662   0.22263320
230 89fda0284e008d2e0c980fb13f96bd60 form.family_planning_group.counsel_stay  0.10568968   0.21137940
150 89fda0284e008d2e0c980fb13f96de63 form.family_planning_group.counsel_stay  0.09170783   0.18341570
151 89fda0284e008d2e0c980fb13f99fa39 form.family_planning_group.counsel_stay  0.09170783   0.18341570
115 89fda0284e008d2e0c980fb13f99c940 form.family_planning_group.counsel_stay  0.09166418   0.18332840
175 89fda0284e008d2e0c980fb13f955cb1 form.family_planning_group.counsel_stay  0.07360264   0.14720530
218 89fda0284e008d2e0c980fb13f967b9f form.family_planning_group.counsel_stay  0.07360264   0.14720530
125 89fda0284e008d2e0c980fb13f9b5439 form.family_planning_group.counsel_stay  0.06152066   0.12304130
85  89fda0284e008d2e0c980fb13f95fe45 form.family_planning_group.counsel_stay  0.05191021   0.10382040
214 89fda0284e008d2e0c980fb13f958a63 form.family_planning_group.counsel_stay  0.05167818   0.10335640
224 89fda0284e008d2e0c980fb13f97710a form.family_planning_group.counsel_stay  0.05167818   0.10335640
136 89fda0284e008d2e0c980fb13f976b14 form.family_planning_group.counsel_stay  0.04988699   0.09977398
5   89fda0284e008d2e0c980fb13f97b53a form.family_planning_group.counsel_stay  0.04307804   0.08615607
163 89fda0284e008d2e0c980fb13f96114d form.family_planning_group.counsel_stay  0.03700841   0.07401681
110 89fda0284e008d2e0c980fb13f95a0fb form.family_planning_group.counsel_stay  0.03373888   0.06747777
195 89fda0284e008d2e0c980fb13f95ad0e form.family_planning_group.counsel_stay  0.03373888   0.06747777
